Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1987-06-01
Station:        040128         Bonniebrook - à 2,1 km en aval de la décharge du lac Fiddler                                                                                   
Bassin versant: 54.1 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 48' 4" // -74° 10' 45"

Date de création du fichier: 2012-06-25 18:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040128         1974/10/30          0.250          J
040128         1974/10/31          
040128         1974/11/01          
040128         1974/11/02          
040128         1974/11/03          
040128         1974/11/04          
040128         1974/11/05          
040128         1974/11/06          
040128         1974/11/07          
040128         1974/11/08          
040128         1974/11/09          
040128         1974/11/10          
040128         1974/11/11          
040128         1974/11/12          
040128         1974/11/13          
040128         1974/11/14          
040128         1974/11/15          
040128         1974/11/16          
040128         1974/11/17          
040128         1974/11/18          
040128         1974/11/19          
040128         1974/11/20          
040128         1974/11/21          
040128         1974/11/22          
040128         1974/11/23          
040128         1974/11/24          
040128         1974/11/25          
040128         1974/11/26          
040128         1974/11/27          
040128         1974/11/28          
040128         1974/11/29          
040128         1974/11/30          
040128         1974/12/01          
040128         1974/12/02          
040128         1974/12/03          
040128         1974/12/04          
040128         1974/12/05          
040128         1974/12/06          
040128         1974/12/07          
040128         1974/12/08          
040128         1974/12/09          
040128         1974/12/10          
040128         1974/12/11          
040128         1974/12/12          
040128         1974/12/13          
040128         1974/12/14          
040128         1974/12/15          
040128         1974/12/16          
040128         1974/12/17          
040128         1974/12/18          
040128         1974/12/19          
040128         1974/12/20          
040128         1974/12/21          
040128         1974/12/22          
040128         1974/12/23          
040128         1974/12/24          
040128         1974/12/25          
040128         1974/12/26          
040128         1974/12/27          
040128         1974/12/28          
