Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1971-12-15
Station:        052802         Du Loup - à 8,0 km en amont du pont-route à Louiseville                                                                                        
Bassin versant: 1430 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 46° 17' 47" // -72° 54' 44"

Date de création du fichier: 2012-06-24 06:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052802         1965/05/11          57.80          MC
052802         1965/05/12          
052802         1965/05/13          
052802         1965/05/14          
052802         1965/05/15          
052802         1965/05/16          
052802         1965/05/17          
052802         1965/05/18          
052802         1965/05/19          
052802         1965/05/20          
052802         1965/05/21          
052802         1965/05/22          
052802         1965/05/23          
052802         1965/05/24          
052802         1965/05/25          
052802         1965/05/26          
052802         1965/05/27          
052802         1965/05/28          
052802         1965/05/29          
052802         1965/05/30          
052802         1965/05/31          
052802         1965/06/01          
052802         1965/06/02          
052802         1965/06/03          
052802         1965/06/04          
052802         1965/06/05          
052802         1965/06/06          
052802         1965/06/07          
052802         1965/06/08          
052802         1965/06/09          
052802         1965/06/10          
052802         1965/06/11          
052802         1965/06/12          
052802         1965/06/13          
052802         1965/06/14          
052802         1965/06/15          
052802         1965/06/16          
052802         1965/06/17          
052802         1965/06/18          
052802         1965/06/19          
052802         1965/06/20          
052802         1965/06/21          
052802         1965/06/22          
052802         1965/06/23          
052802         1965/06/24          
052802         1965/06/25          
052802         1965/06/26          
052802         1965/06/27          
052802         1965/06/28          
052802         1965/06/29          
052802         1965/06/30          
052802         1965/07/01          
052802         1965/07/02          
052802         1965/07/03          
052802         1965/07/04          
052802         1965/07/05          
052802         1965/07/06          
052802         1965/07/07          
052802         1965/07/08          
052802         1965/07/09          
052802         1965/07/10          
052802         1965/07/11          
052802         1965/07/12          
052802         1965/07/13          
052802         1965/07/14          
052802         1965/07/15          
052802         1965/07/16          
052802         1965/07/17          
052802         1965/07/18          
052802         1965/07/19          
052802         1965/07/20          
052802         1965/07/21          
052802         1965/07/22          
052802         1965/07/23          
052802         1965/07/24          
052802         1965/07/25          
052802         1965/07/26          
052802         1965/07/27          
052802         1965/07/28          
052802         1965/07/29          
052802         1965/07/30          
052802         1965/07/31          
052802         1965/08/01          
052802         1965/08/02          
052802         1965/08/03          
052802         1965/08/04          
052802         1965/08/05          
052802         1965/08/06          
052802         1965/08/07          
052802         1965/08/08          
052802         1965/08/09          
052802         1965/08/10          
052802         1965/08/11          
052802         1965/08/12          
052802         1965/08/13          
052802         1965/08/14          
052802         1965/08/15          
052802         1965/08/16          
052802         1965/08/17          
052802         1965/08/18          
052802         1965/08/19          
052802         1965/08/20          
052802         1965/08/21          
052802         1965/08/22          
052802         1965/08/23          
052802         1965/08/24          
052802         1965/08/25          
052802         1965/08/26          
052802         1965/08/27          
052802         1965/08/28          
052802         1965/08/29          
052802         1965/08/30          
052802         1965/08/31          
052802         1965/09/01          
052802         1965/09/02          
052802         1965/09/03          
052802         1965/09/04          
052802         1965/09/05          
052802         1965/09/06          
052802         1965/09/07          
052802         1965/09/08          
052802         1965/09/09          
052802         1965/09/10          
052802         1965/09/11          
052802         1965/09/12          
052802         1965/09/13          
052802         1965/09/14          8.750          MC
052802         1965/09/15          
052802         1965/09/16          
052802         1965/09/17          
052802         1965/09/18          
052802         1965/09/19          
052802         1965/09/20          
052802         1965/09/21          
052802         1965/09/22          
052802         1965/09/23          
052802         1965/09/24          
052802         1965/09/25          
052802         1965/09/26          
052802         1965/09/27          
052802         1965/09/28          22.20          MC
052802         1965/09/29          
052802         1965/09/30          
052802         1965/10/01          
052802         1965/10/02          
052802         1965/10/03          
052802         1965/10/04          
052802         1965/10/05          
052802         1965/10/06          
052802         1965/10/07          
052802         1965/10/08          
052802         1965/10/09          
052802         1965/10/10          
052802         1965/10/11          
052802         1965/10/12          
052802         1965/10/13          
052802         1965/10/14          
052802         1965/10/15          
052802         1965/10/16          
052802         1965/10/17          
052802         1965/10/18          
052802         1965/10/19          
052802         1965/10/20          
052802         1965/10/21          
052802         1965/10/22          
052802         1965/10/23          
052802         1965/10/24          
052802         1965/10/25          
052802         1965/10/26          
052802         1965/10/27          
052802         1965/10/28          
052802         1965/10/29          
052802         1965/10/30          
052802         1965/10/31          
052802         1965/11/01          
052802         1965/11/02          
052802         1965/11/03          
052802         1965/11/04          
052802         1965/11/05          
052802         1965/11/06          
052802         1965/11/07          
052802         1965/11/08          
052802         1965/11/09          39.10          MC
052802         1965/11/10          
052802         1965/11/11          
052802         1965/11/12          
052802         1965/11/13          
052802         1965/11/14          
052802         1965/11/15          
052802         1965/11/16          
052802         1965/11/17          
052802         1965/11/18          
052802         1965/11/19          
052802         1965/11/20          
052802         1965/11/21          
052802         1965/11/22          
052802         1965/11/23          
052802         1965/11/24          
052802         1965/11/25          
052802         1965/11/26          
052802         1965/11/27          
052802         1965/11/28          
052802         1965/11/29          
052802         1965/11/30          
052802         1965/12/01          
052802         1965/12/02          
052802         1965/12/03          
052802         1965/12/04          
052802         1965/12/05          
052802         1965/12/06          
052802         1965/12/07          20.80          MC
052802         1965/12/08          
052802         1965/12/09          
052802         1965/12/10          
052802         1965/12/11          
052802         1965/12/12          
052802         1965/12/13          
052802         1965/12/14          
052802         1965/12/15          
052802         1965/12/16          
052802         1965/12/17          
052802         1965/12/18          
052802         1965/12/19          
052802         1965/12/20          
052802         1965/12/21          
052802         1965/12/22          
052802         1965/12/23          
052802         1965/12/24          
052802         1965/12/25          
052802         1965/12/26          
052802         1965/12/27          
052802         1965/12/28          
052802         1965/12/29          
052802         1965/12/30          
052802         1965/12/31          
052802         1966/01/01          17.60          R
052802         1966/01/02          17.00          R
052802         1966/01/03          16.70          R
052802         1966/01/04          16.60          R
052802         1966/01/05          16.00          R
052802         1966/01/06          15.70          R
052802         1966/01/07          15.30          R
052802         1966/01/08          15.00          R
052802         1966/01/09          14.70          R
052802         1966/01/10          14.40          R
052802         1966/01/11          14.30          R
052802         1966/01/12          14.00          R
052802         1966/01/13          13.90          R
052802         1966/01/14          13.60          R
052802         1966/01/15          13.50          R
052802         1966/01/16          13.20          R
052802         1966/01/17          13.00          R
052802         1966/01/18          12.60          R
052802         1966/01/19          12.30          R
052802         1966/01/20          12.00          R
052802         1966/01/21          11.90          R
052802         1966/01/22          11.50          R
052802         1966/01/23          11.30          R
052802         1966/01/24          11.00          R
052802         1966/01/25          10.80          R
052802         1966/01/26          10.70          R
052802         1966/01/27          10.50          R
052802         1966/01/28          10.40          R
052802         1966/01/29          10.40          R
052802         1966/01/30          10.40          R
052802         1966/01/31          10.50          R
052802         1966/02/01          10.90          R
052802         1966/02/02          10.90          R
052802         1966/02/03          10.80          R
052802         1966/02/04          10.50          R
052802         1966/02/05          10.30          R
052802         1966/02/06          10.10          R
052802         1966/02/07          9.850          R
052802         1966/02/08          9.630          R
052802         1966/02/09          9.460          R
052802         1966/02/10          9.400          R
052802         1966/02/11          9.340          R
052802         1966/02/12          9.540          R
052802         1966/02/13          10.10          R
052802         1966/02/14          10.90          R
052802         1966/02/15          11.80          R
052802         1966/02/16          11.80          R
052802         1966/02/17          11.60          R
052802         1966/02/18          11.40          R
052802         1966/02/19          11.20          R
052802         1966/02/20          11.00          R
052802         1966/02/21          10.70          R
052802         1966/02/22          10.50          R
052802         1966/02/23          10.30          R
052802         1966/02/24          10.10          R
052802         1966/02/25          9.910          R
052802         1966/02/26          9.850          R
052802         1966/02/27          9.770          R
052802         1966/02/28          9.910          R
052802         1966/03/01          11.00          R
052802         1966/03/02          14.20          R
052802         1966/03/03          16.70          R
052802         1966/03/04          15.30          R
052802         1966/03/05          14.40          R
052802         1966/03/06          14.20          R
052802         1966/03/07          16.70          R
052802         1966/03/08          18.80          R
052802         1966/03/09          18.40          R
052802         1966/03/10          17.70          R
052802         1966/03/11          17.10          R
052802         1966/03/12          16.70          R
052802         1966/03/13          16.10          R
052802         1966/03/14          15.90          R
052802         1966/03/15          15.60          R
052802         1966/03/16          15.40          R
052802         1966/03/17          15.30          R
052802         1966/03/18          15.30          R
052802         1966/03/19          15.30          R
052802         1966/03/20          15.30          R
052802         1966/03/21          15.30          R
052802         1966/03/22          15.90          R
052802         1966/03/23          19.50          R
052802         1966/03/24          27.20          R
052802         1966/03/25          37.40          MC
052802         1966/03/26          38.50          MC
052802         1966/03/27          36.00          MC
052802         1966/03/28          31.70          MC
052802         1966/03/29          29.40          MC
052802         1966/03/30          27.80          MC
052802         1966/03/31          25.00          MC
052802         1966/04/01          29.40          MC
052802         1966/04/02          29.20          MC
052802         1966/04/03          29.20          MC
052802         1966/04/04          25.90          MC
052802         1966/04/05          30.00          MC
052802         1966/04/06          38.80          MC
052802         1966/04/07          37.10          MC
052802         1966/04/08          34.50          MC
052802         1966/04/09          43.00          MC
052802         1966/04/10          44.70          MC
052802         1966/04/11          47.30          MC
052802         1966/04/12          52.70          MC
052802         1966/04/13          57.20          MC
052802         1966/04/14          62.30          MC
052802         1966/04/15          71.90          MC
052802         1966/04/16          80.70          MC
052802         1966/04/17          83.30          MC
052802         1966/04/18          86.10          MC
052802         1966/04/19          86.90          MC
052802         1966/04/20          90.90          MC
052802         1966/04/21          99.40          MC
052802         1966/04/22          119.0          MC
052802         1966/04/23          123.0          MC
052802         1966/04/24          125.0          MC
052802         1966/04/25          126.0          MC
052802         1966/04/26          130.0          MC
052802         1966/04/27          123.0          MC
052802         1966/04/28          109.0          MC
052802         1966/04/29          97.70          MC
052802         1966/04/30          88.60          MC
052802         1966/05/01          83.50          MC
052802         1966/05/02          79.30          MC
052802         1966/05/03          75.90          MC
052802         1966/05/04          72.20          MC
052802         1966/05/05          71.10          MC
052802         1966/05/06          69.90          MC
052802         1966/05/07          68.20          MC
052802         1966/05/08          65.10          MC
052802         1966/05/09          62.00          MC
052802         1966/05/10          58.00          MC
052802         1966/05/11          53.20          MC
052802         1966/05/12          50.40          MC
052802         1966/05/13          49.00          MC
052802         1966/05/14          45.60          MC
052802         1966/05/15          41.30          MC
052802         1966/05/16          41.30          MC
052802         1966/05/17          44.70          MC
052802         1966/05/18          54.40          MC
052802         1966/05/19          68.20          MC
052802         1966/05/20          90.00          MC
052802         1966/05/21          88.60          MC
052802         1966/05/22          76.50          MC
052802         1966/05/23          68.00          MC
052802         1966/05/24          62.00          MC
052802         1966/05/25          56.60          MC
052802         1966/05/26          52.40          MC
052802         1966/05/27          48.10          MC
052802         1966/05/28          45.00          MC
052802         1966/05/29          42.50          MC
052802         1966/05/30          41.60          MC
052802         1966/05/31          38.20          MC
052802         1966/06/01          36.50          MC
052802         1966/06/02          34.30          MC
052802         1966/06/03          33.10          MC
052802         1966/06/04          31.40          MC
052802         1966/06/05          29.70          MC
052802         1966/06/06          28.60          MC
052802         1966/06/07          27.70          MC
052802         1966/06/08          26.50          MC
052802         1966/06/09          26.60          MC
052802         1966/06/10          28.30          MC
052802         1966/06/11          55.50          MC
052802         1966/06/12          59.70          MC
052802         1966/06/13          49.80          MC
052802         1966/06/14          44.50          MC
052802         1966/06/15          41.60          MC
052802         1966/06/16          41.30          MC
052802         1966/06/17          39.10          MC
052802         1966/06/18          37.70          MC
052802         1966/06/19          38.20          MC
052802         1966/06/20          38.50          MC
052802         1966/06/21          37.90          MC
052802         1966/06/22          35.70          MC
052802         1966/06/23          33.70          MC
052802         1966/06/24          33.10          MC
052802         1966/06/25          32.60          MC
052802         1966/06/26          32.00          MC
052802         1966/06/27          30.30          MC
052802         1966/06/28          26.30          MC
052802         1966/06/29          24.60          MC
052802         1966/06/30          24.40          MC
052802         1966/07/01          23.70          MC
052802         1966/07/02          22.70          MC
052802         1966/07/03          22.70          MC
052802         1966/07/04          22.80          MC
052802         1966/07/05          22.00          MC
052802         1966/07/06          20.70          MC
052802         1966/07/07          20.30          MC
052802         1966/07/08          19.50          MC
052802         1966/07/09          18.80          MC
052802         1966/07/10          18.10          MC
052802         1966/07/11          17.60          MC
052802         1966/07/12          16.70          MC
052802         1966/07/13          18.10          MC
052802         1966/07/14          18.30          MC
052802         1966/07/15          17.40          MC
052802         1966/07/16          18.20          MC
052802         1966/07/17          18.30          MC
052802         1966/07/18          18.00          MC
052802         1966/07/19          17.30          MC
052802         1966/07/20          16.80          MC
052802         1966/07/21          16.60          MC
052802         1966/07/22          16.10          MC
052802         1966/07/23          15.00          MC
052802         1966/07/24          14.80          MC
052802         1966/07/25          14.60          MC
052802         1966/07/26          14.40          MC
052802         1966/07/27          14.50          MC
052802         1966/07/28          14.20          MC
052802         1966/07/29          13.20          MC
052802         1966/07/30          13.20          MC
052802         1966/07/31          13.00          MC
052802         1966/08/01          12.70          MC
052802         1966/08/02          12.70          MC
052802         1966/08/03          14.20          MC
052802         1966/08/04          15.60          MC
052802         1966/08/05          15.00          MC
052802         1966/08/06          13.50          MC
052802         1966/08/07          13.00          MC
052802         1966/08/08          12.60          MC
052802         1966/08/09          11.40          MC
052802         1966/08/10          12.00          MC
052802         1966/08/11          12.30          MC
052802         1966/08/12          14.20          MC
052802         1966/08/13          15.10          MC
052802         1966/08/14          14.90          MC
052802         1966/08/15          13.60          MC
052802         1966/08/16          12.90          MC
052802         1966/08/17          21.90          MC
052802         1966/08/18          20.00          MC
052802         1966/08/19          16.50          MC
052802         1966/08/20          14.40          MC
052802         1966/08/21          12.70          MC
052802         1966/08/22          11.70          MC
052802         1966/08/23          11.40          MC
052802         1966/08/24          11.20          MC
052802         1966/08/25          10.60          MC
052802         1966/08/26          10.30          MC
052802         1966/08/27          10.10          MC
052802         1966/08/28          9.880          MC
052802         1966/08/29          9.770          MC
052802         1966/08/30          9.230          MC
052802         1966/08/31          8.890          MC
052802         1966/09/01          8.640          MC
052802         1966/09/02          8.720          MC
052802         1966/09/03          8.100          MC
052802         1966/09/04          7.360          MC
052802         1966/09/05          8.890          MC
052802         1966/09/06          9.660          MC
052802         1966/09/07          9.600          MC
052802         1966/09/08          8.780          MC
052802         1966/09/09          8.100          MC
052802         1966/09/10          7.730          MC
052802         1966/09/11          7.480          MC
052802         1966/09/12          7.390          E
052802         1966/09/13          7.330          E
052802         1966/09/14          7.250          E
052802         1966/09/15          7.160          E
052802         1966/09/16          7.080          E
052802         1966/09/17          6.990          E
052802         1966/09/18          7.110          E
052802         1966/09/19          7.220          E
052802         1966/09/20          7.050          E
052802         1966/09/21          6.820          E
052802         1966/09/22          7.080          E
052802         1966/09/23          8.210          E
052802         1966/09/24          8.500          E
052802         1966/09/25          7.930          E
052802         1966/09/26          7.650          E
052802         1966/09/27          7.450          E
052802         1966/09/28          7.360          E
052802         1966/09/29          7.330          MC
052802         1966/09/30          7.560          MC
052802         1966/10/01          8.380          MC
052802         1966/10/02          8.550          MC
052802         1966/10/03          8.100          MC
052802         1966/10/04          7.900          MC
052802         1966/10/05          7.990          MC
052802         1966/10/06          8.010          MC
052802         1966/10/07          7.960          MC
052802         1966/10/08          7.820          MC
052802         1966/10/09          7.700          MC
052802         1966/10/10          7.870          MC
052802         1966/10/11          8.610          MC
052802         1966/10/12          9.290          MC
052802         1966/10/13          8.950          MC
052802         1966/10/14          8.780          MC
052802         1966/10/15          8.660          MC
052802         1966/10/16          9.120          MC
052802         1966/10/17          9.490          MC
052802         1966/10/18          9.540          MC
052802         1966/10/19          9.170          MC
052802         1966/10/20          10.70          MC
052802         1966/10/21          10.40          MC
052802         1966/10/22          9.880          MC
052802         1966/10/23          9.910          MC
052802         1966/10/24          9.660          MC
052802         1966/10/25          9.320          MC
052802         1966/10/26          9.060          MC
052802         1966/10/27          8.810          MC
052802         1966/10/28          8.720          MC
052802         1966/10/29          8.380          MC
052802         1966/10/30          8.440          MC
052802         1966/10/31          8.160          MC
052802         1966/11/01          8.100          MC
052802         1966/11/02          8.160          MC
052802         1966/11/03          21.20          MC
052802         1966/11/04          34.50          MC
052802         1966/11/05          30.90          MC
052802         1966/11/06          24.50          MC
052802         1966/11/07          21.30          MC
052802         1966/11/08          19.60          MC
052802         1966/11/09          19.40          MC
052802         1966/11/10          21.40          MC
052802         1966/11/11          28.30          E
052802         1966/11/12          44.70          E
052802         1966/11/13          42.50          E
052802         1966/11/14          39.60          E
052802         1966/11/15          36.20          E
052802         1966/11/16          33.40          E
052802         1966/11/17          30.00          E
052802         1966/11/18          27.20          E
052802         1966/11/19          24.00          MC
052802         1966/11/20          21.50          MC
052802         1966/11/21          19.80          MC
052802         1966/11/22          19.20          MC
052802         1966/11/23          19.80          MC
052802         1966/11/24          21.60          MC
052802         1966/11/25          28.90          MC
052802         1966/11/26          36.50          MC
052802         1966/11/27          34.50          MC
052802         1966/11/28          32.00          MC
052802         1966/11/29          31.10          MC
052802         1966/11/30          33.70          MC
052802         1966/12/01          35.40          MC
052802         1966/12/02          33.40          MC
052802         1966/12/03          26.90          MC
052802         1966/12/04          22.70          MC
052802         1966/12/05          24.90          MC
052802         1966/12/06          26.50          MC
052802         1966/12/07          26.40          MC
052802         1966/12/08          28.60          MC
052802         1966/12/09          35.40          MC
052802         1966/12/10          41.60          MC
052802         1966/12/11          51.30          MC
052802         1966/12/12          55.20          MC
052802         1966/12/13          40.80          MC
052802         1966/12/14          36.20          MC
052802         1966/12/15          32.60          MC
052802         1966/12/16          28.60          MC
052802         1966/12/17          30.00          MC
052802         1966/12/18          32.30          MC
052802         1966/12/19          28.30          R
052802         1966/12/20          29.70          R
052802         1966/12/21          28.60          R
052802         1966/12/22          28.00          R
052802         1966/12/23          27.20          R
052802         1966/12/24          26.30          R
052802         1966/12/25          25.80          R
052802         1966/12/26          24.90          R
052802         1966/12/27          23.50          R
052802         1966/12/28          22.40          R
052802         1966/12/29          21.10          R
052802         1966/12/30          19.80          R
052802         1966/12/31          18.80          R
052802         1967/01/01          18.10          R
052802         1967/01/02          17.60          R
052802         1967/01/03          17.00          R
052802         1967/01/04          16.50          R
052802         1967/01/05          16.00          R
052802         1967/01/06          15.60          R
052802         1967/01/07          15.30          R
