Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1986-08-28
Station:        052232         Abercromby - à 1,9 km de l'Achigan                                                                                                             
Bassin versant: 58.5 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 51' 57" // -73° 54' 1"

Date de création du fichier: 2012-06-24 05:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
052232         1975/10/23          1.320          MC
052232         1975/10/24          
052232         1975/10/25          
052232         1975/10/26          
052232         1975/10/27          
052232         1975/10/28          
052232         1975/10/29          
052232         1975/10/30          
052232         1975/10/31          
052232         1975/11/01          
052232         1975/11/02          
052232         1975/11/03          
052232         1975/11/04          
052232         1975/11/05          
052232         1975/11/06          
052232         1975/11/07          
052232         1975/11/08          
052232         1975/11/09          
052232         1975/11/10          
052232         1975/11/11          
052232         1975/11/12          
052232         1975/11/13          
052232         1975/11/14          2.130          MC
052232         1975/11/15          
052232         1975/11/16          
052232         1975/11/17          
052232         1975/11/18          
052232         1975/11/19          
052232         1975/11/20          
052232         1975/11/21          
052232         1975/11/22          
052232         1975/11/23          
052232         1975/11/24          
052232         1975/11/25          
052232         1975/11/26          
052232         1975/11/27          
052232         1975/11/28          
052232         1975/11/29          
052232         1975/11/30          
052232         1975/12/01          
052232         1975/12/02          
052232         1975/12/03          
052232         1975/12/04          
052232         1975/12/05          
052232         1975/12/06          
052232         1975/12/07          
052232         1975/12/08          
052232         1975/12/09          
052232         1975/12/10          
052232         1975/12/11          
052232         1975/12/12          
052232         1975/12/13          
052232         1975/12/14          
052232         1975/12/15          
052232         1975/12/16          
052232         1975/12/17          
052232         1975/12/18          
052232         1975/12/19          
052232         1975/12/20          
052232         1975/12/21          
052232         1975/12/22          
052232         1975/12/23          
052232         1975/12/24          
052232         1975/12/25          
052232         1975/12/26          
052232         1975/12/27          
052232         1975/12/28          
052232         1975/12/29          
052232         1975/12/30          
052232         1975/12/31          
052232         1976/01/01          
052232         1976/01/02          
052232         1976/01/03          
052232         1976/01/04          
052232         1976/01/05          
052232         1976/01/06          
052232         1976/01/07          
052232         1976/01/08          
052232         1976/01/09          
052232         1976/01/10          
052232         1976/01/11          
052232         1976/01/12          
052232         1976/01/13          
052232         1976/01/14          
052232         1976/01/15          
052232         1976/01/16          
052232         1976/01/17          
052232         1976/01/18          
052232         1976/01/19          
052232         1976/01/20          
052232         1976/01/21          
052232         1976/01/22          
052232         1976/01/23          
052232         1976/01/24          
052232         1976/01/25          
052232         1976/01/26          
052232         1976/01/27          
052232         1976/01/28          
052232         1976/01/29          
052232         1976/01/30          
052232         1976/01/31          
052232         1976/02/01          
052232         1976/02/02          
052232         1976/02/03          
052232         1976/02/04          
052232         1976/02/05          
052232         1976/02/06          
052232         1976/02/07          
052232         1976/02/08          
052232         1976/02/09          
052232         1976/02/10          
